"Pseudo_Student_ID","school_id_pb","ABSENCES_TOTAL_22","ALG1_EOC_SCALE_SCORE_22","document_view_1","document_view_2","document_view_3","document_view_4","leaderboard_load_1","leaderboard_load_2","leaderboard_load_3","leaderboard_load_4","ortan_load_1","ortan_load_2","ortan_load_3","ortan_load_4","ortan_video_watc_1","ortan_video_watc_2","ortan_video_watc_3","ortan_video_watc_4","tys_answer_1","tys_answer_2","tys_answer_3","tys_answer_4","tys_finish_1","tys_finish_2","tys_finish_3","tys_finish_4","tys_load_1","tys_load_2","tys_load_3","tys_load_4","tys_previous_1","tys_previous_2","tys_previous_3","tys_previous_4","tys_review_corre_1","tys_review_corre_2","tys_review_corre_3","tys_review_corre_4","tys_review_incor_1","tys_review_incor_2","tys_review_incor_3","tys_review_incor_4","tys_review_solut_1","tys_review_solut_2","tys_review_solut_3","tys_review_solut_4","tys_review_topic_1","tys_review_topic_2","tys_review_topic_3","tys_review_topic_4","video_caption_1","video_caption_2","video_caption_3","video_caption_4","video_completed_1","video_completed_2","video_completed_3","video_completed_4","video_pause_1","video_pause_2","video_pause_3","video_pause_4","video_play_1","video_play_2","video_play_3","video_play_4","video_seek_1","video_seek_2","video_seek_3","video_seek_4","video_watch_1","video_watch_2","video_watch_3","video_watch_4","wall_load_more_1","wall_load_more_2","wall_load_more_3","wall_load_more_4","wall_make_post_1","wall_make_post_2","wall_make_post_3","wall_make_post_4","wall_page_load_1","wall_page_load_2","wall_page_load_3","wall_page_load_4","wall_search_1","wall_search_2","wall_search_3","Test_Schl_Type_AL","Test_Schl_Type_CH","Test_Schl_Type_DJ","Test_Schl_Type_HS","Test_Schl_Type_MS","GENDER_F","GENDER_M","ETHNICITY_A","ETHNICITY_B","ETHNICITY_H","ETHNICITY_I","ETHNICITY_M","ETHNICITY_W","FRL_N","FRL_Y","ALGEBRA_COURSE1_DESC_22_","ALGEBRA_COURSE1_DESC_22_Alg 1","ALGEBRA_COURSE1_DESC_22_Alg 1 Hon","ALGEBRA_COURSE1_DESC_22_Ib Myp Alg 1","ALGEBRA_COURSE1_DESC_22_Pre-Aice Math 1 Ig","First_time_test_taker_N","First_time_test_taker_Y","actions1","log_actions1","actions2","log_actions2","actions3","log_actions3","actions4","log_actions4"
"184057660",2301,4,500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,36,3,0,12,13,2,0,5,0,0,0,1,0,0,0,0,0,0,0,11,2,10,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,75,36,0,0,76,39,0,0,11,32,0,0,5,6,0,0,0,0,0,0,0,0,0,0,18,14,6,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,243,5.4971682252932,180,5.19849703126583,21,3.09104245335832,0,0
"184468084",1461,5,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,3,0,0,276,2,12,0,311,3,15,274,0,10,2,37,0,7,1,0,0,0,0,0,0,0,0,28,0,2,14,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,342,5.83773044716594,602,6.40191719672719,29,3.40119738166216,44,3.80666248977032
"185348082",2361,1,454,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,22,3.13549421592915,11,2.484906649788,3,1.38629436111989,0,0
"185951685",1461,13,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,56,21,0,6,59,23,0,43,1,0,15,5,3,0,3,0,0,0,0,0,0,0,0,5,9,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,68,4.23410650459726,133,4.89783979995091,48,3.89182029811063,19,2.99573227355399
"186769075",1461,14,482,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,81,26,8,51,101,141,22,93,216,104,167,45,44,20,43,12,0,0,0,0,0,0,0,0,0,14,2,8,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,453,6.11809719804135,308,5.73334127689775,245,5.50533153593236,209,5.34710753071747
"187170721",691,5,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,7,6,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,2,10,18,0,7,19,21,1,15,5,0,41,8,5,0,4,0,0,0,0,0,0,0,0,9,6,10,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,61,4.12713438504509,61,4.12713438504509,66,4.20469261939097,63,4.15888308335967
"188117947",3355,9,475,0,0,0,0,0,2,5,0,0,1,2,0,0,0,0,0,0,0,12,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,1,5,277,280,150,0,295,296,154,2,235,312,1,136,34,31,2,15,0,0,0,0,0,0,0,0,20,8,11,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,873,6.77308037565554,945,6.85224256905188,347,5.85220247977447,164,5.10594547390058
"188612623",961,8,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,16,2.83321334405622,24,3.2188758248682,0,0,3,1.38629436111989
"188683841",3101,91,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,6,1.94591014905531,15,2.77258872223978
"188928589",961,14,525,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,111,295,66,55,67,27,10,11,26,8,4,5,95,39,22,1,5,0,0,0,64,11,97,15,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,40,15,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,549,6.30991827822652,438,6.08449941307517,214,5.37063802812766,102,4.63472898822964
